Date,Region,Service Category,Index Value
2020-04-01,Prairie Region,Surveying and mapping services,103.2
2020-04-01,British Columbia and territories,"Architectural, engineering and related services price index",105.2
2020-04-01,British Columbia and territories,Architectural and landscape architectural services,105.0
2020-04-01,British Columbia and territories,Engineering services,105.2
2020-04-01,British Columbia and territories,Surveying and mapping services,106.7
2020-07-01,Canada,"Architectural, engineering and related services price index",104.5
2020-07-01,Canada,Architectural and landscape architectural services,104.4
2020-07-01,Canada,Engineering services,104.6
2020-07-01,Canada,Surveying and mapping services,101.5
2020-07-01,Atlantic Region,"Architectural, engineering and related services price index",102.9
2020-07-01,Atlantic Region,Architectural and landscape architectural services,118.5
2020-07-01,Atlantic Region,Engineering services,102.0
2020-07-01,Atlantic Region,Surveying and mapping services,103.5
2020-07-01,Quebec,"Architectural, engineering and related services price index",111.1
2020-07-01,Quebec,Architectural and landscape architectural services,100.0
2020-07-01,Quebec,Engineering services,111.7
2020-07-01,Quebec,Surveying and mapping services,100.4
2020-07-01,Ontario,"Architectural, engineering and related services price index",103.9
2020-07-01,Ontario,Architectural and landscape architectural services,104.5
2020-07-01,Ontario,Engineering services,103.8
2020-07-01,Ontario,Surveying and mapping services,103.4
2020-07-01,Prairie Region,"Architectural, engineering and related services price index",102.2
2020-07-01,Prairie Region,Architectural and landscape architectural services,103.9
2020-07-01,Prairie Region,Engineering services,102.2
2020-07-01,Prairie Region,Surveying and mapping services,100.6
2020-07-01,British Columbia and territories,"Architectural, engineering and related services price index",110.6
2020-07-01,British Columbia and territories,Architectural and landscape architectural services,104.3
2020-07-01,British Columbia and territories,Engineering services,111.3
2020-07-01,British Columbia and territories,Surveying and mapping services,106.7
2020-10-01,Canada,"Architectural, engineering and related services price index",105.2
2020-10-01,Canada,Architectural and landscape architectural services,105.1
2020-10-01,Canada,Engineering services,105.3
2020-10-01,Canada,Surveying and mapping services,101.3
2020-10-01,Atlantic Region,"Architectural, engineering and related services price index",102.6
2020-10-01,Atlantic Region,Architectural and landscape architectural services,116.7
2020-10-01,Atlantic Region,Engineering services,101.8
2020-10-01,Atlantic Region,Surveying and mapping services,103.5
